,0,1,2,source
6106,ione,more yet come one by one: the air around them,looks radiant as the air around a star,img2poems
6107,panthea,canst thou speak sister,all my words are drowned,img2poems
6108,prometheus,spirits,how know ye this shall be,img2poems
6109,note,_ moon b morn,_ o'er b on,img2poems
6110,dream,follow,follow,img2poems
6111,panthea,the crags this clear spring morning mock our voices,as they were spirit-tongued,img2poems
6112,panthea,list,the strain floats nearer now,img2poems
6113,asia,come sweet panthea link thy hand in mine,and follow ere the voices fade away,img2poems
6114,panthea,a countenance with beckoning smiles: there burns,an azure fire within its golden locks,img2poems
6115,demogorgon,i spoke but as ye speak,for jove is the supreme of living things,img2poems
6116,asia,thou breathest on their nostrils but my breath,would give them swifter speed,img2poems
6117,spirit,alas,it could not,img2poems
6118,panthea,list,spirits speak,img2poems
6119,notes,_ many-peopled b many peopled,_ light-laden b light laden,img2poems
6120,notes,_ their b thy,_ unwithering b edition  unwitting,img2poems
6121,asia,oh mother,wherefore speak the name of death,img2poems
6122,think ye by gazing on each other's eyes,to multiply your lovely selves and fill,with sphered fires the interlunar air,img2poems
6123,panthea,see where the spirits of the human mind,wrapped in sweet sounds as in bright veils approach,img2poems
6124,panthea,ha,they are gone,img2poems
6125,notes,_-_ the abysses and the abysses of b,_ the omitted,img2poems
6126,a voice: from beneath,or as they,whom we have left we change and pass away,img2poems
6127,notes,_ dread b edition  dead,_ falter b edition  flatter,img2poems
6128,when thou descendst each night with open eyes,in torture for a tyrant seldom sleeps,thou never,img2poems
6129,asia,thine eyes burn burn,hide them within thine hair,img2poems
6130,panthea,o quench thy lips,i sink i perish,img2poems
6131,asia,shelter me now they burn,it is his spirit in their orbs,img2poems
6132,or looks which tell that while the lips are calm,and the eyes cold the spirit weeps within,tears like the sanguine sweat of agony,img2poems
6133,[the sound beneath as of earthquake and the driving of whirlwinds the,ravine is split and the phantasm of jupiter rises surrounded by,heavy clouds which dart forth lightning,img2poems
6134,'cars drawn by rainbow-winged steeds,which trample the dim winds: in each there stands,a wild-eyed charioteer urging their flight,img2poems
6135,i may mention for the information of the more critical reader that,the verbal alterations in this edition of prometheus are made from a,list of errata written by shelley himself,img2poems
6136,i inscribe with your name from a distant country and after an,absence whose months have seemed years this the latest of my literary,efforts,img2poems
6137,camillo,art thou not,most miserable,img2poems
6138,andrea,my lord a gentleman from salamanca,would speak with you,img2poems
6139,cenci,bid him attend me,in the grand saloon,img2poems
6140,notes,_ whom i had edition  whom i have editions,_ that shalt edition  that shall editions,img2poems
6141,beatrice,ah,my blood runs cold,img2poems
6142,beatrice,it is not true,dear lady pray look up,img2poems
6143,first guest,oh horrible,i will depart,img2poems
6144,lucretia,alas,poor boy what else couldst thou have done,img2poems
6145,beatrice,oh that the earth would gape,hide me o god,img2poems
6146,lucretia,o husband,pray forgive poor beatrice,img2poems
6147,lucretia,so help me god,i never thought the things you charge me with,img2poems
6148,giacomo,but you orsino,have the petition: wherefore not present it,img2poems
6149,lucretia,alas,what has befallen thee child,img2poems
6150,orsino,accuse him of the deed and let the law,avenge thee,img2poems
6151,lucretia,you think we should devise,his death,img2poems
6152,beatrice,that step we hear approach must never pass,the bridge of which we spoke,img2poems
6153,giacomo,i sought him here,and now must wait till he returns,img2poems
6154,beatrice,'tis my brother's voice,you know me not,img2poems
6155,orsino,i am come,to say he has escaped,img2poems
6156,giacomo,listen,what sound is that,img2poems
6157,giacomo,if e'er he wakes,again i will not trust to hireling hands,img2poems
6158,giacomo,and all,forgotten: oh that i had never been,img2poems
6159,lucretia,oh,to what will,img2poems
6160,lucretia,peace,peace,img2poems
6161,believe that heaven is merciful and just,and will not add our dread necessity,to the amount of his offences,img2poems
6162,olimpio,it is the white reflection of your own,which you call pale,img2poems
6163,olimpio,or 'tis my hate and the deferred desire,to wreak it which extinguishes their blood,img2poems
6164,marzio,is all,quiet,img2poems
6165,marzio,as to the how this act,be warranted it rests with you,img2poems
6166,marzio,ha,some one comes,img2poems
6167,savella,go search the castle round sound the alarm,look to the gates that none escape,img2poems
6168,beatrice,how dead,he only sleeps you mistake brother,img2poems
6169,savella,ha,is it so,img2poems
6170,savella,can you name any,who had an interest in his death,img2poems
6171,officer,he keeps firm silence but these lines found on him,may speak,img2poems
6172,beatrice,not hate 'twas more than hate,this is most true yet wherefore question me,img2poems
6173,beatrice,what sayest,my lord your words are bold and rash,img2poems
6174,savella,you own,that you desired his death,img2poems
6175,savella,strange thoughts beget strange deeds and here are both,i judge thee not,img2poems
6176,lucretia,o not to rome,o take us not to rome,img2poems
6177,orsino,you cannot say,i urged you to the deed,img2poems
6178,i demand who were the participators,in your offence,speak truth and the whole truth,img2poems
6179,beatrice,what evidence,this man's,img2poems
6180,judge,guards,do your duty,img2poems
6181,beatrice,i hardly dare to fear,that thou bring'st other news than a just pardon,img2poems
6182,(note at stanza : the following stanza is found in the wise,manuscript and in editions  but is wanting in the hunt manuscript,and in edition,img2poems
6183,_ one fleay cj,rossetti forman dowden woodberry,out  nd edition,img2poems
6184,_ betty]emma  nd edition,see letter from shelley to ollier,may,img2poems
6185,if either peter or cobbett should see this note each will feel more,indignation at being compared to the other than at any censure implied,in the moral perversion laid to their charge,img2poems
6186,i knew that there were crimes and evil men,misery and hate nor did i hope to pass,untouched by suffering through the rugged glen,img2poems
6187,should the remaining portions of this tragedy be found entitled,swellfoot in angaria and charite the translator might be tempted,to give them to the reading public,img2poems
6188,the boars,we fight for this rag of greasy rug,though a trough of wash would be fitter,img2poems
