,0,1,2,haiku,lang
7201,sundow,still warmth,in her rosary beads,"sundow
still warmth
in her rosary beads",en
7202,a singul leaf,reelin doon,...day o the yirdin,"a singul leaf
reelin doon
...day o the yirdin",en
7203,a single leaf,spiralling down,...day of the funeral ,"a single leaf
spiralling down
...day of the funeral ",en
7204,thayr bairn's,hame-wrocht mobile:,streeng'n yill cans,"thayr bairn's
hame-wrocht mobile:
streeng'n yill cans",en
7205,their baby's,home-made mobile:,string and beer cans ,"their baby's
home-made mobile:
string and beer cans ",en
7206,it the bus-stap:,a pish-the-bed seed baw,bides fir a souch,"it the bus-stap:
a pish-the-bed seed baw
bides fir a souch",en
7207,at the bus-stop:,a dandelion seed ball,waits for a breeze ,"at the bus-stop:
a dandelion seed ball
waits for a breeze ",en
7208,faimily tae bide -,the hoose,fou o peerie claes,"faimily tae bide -
the hoose
fou o peerie claes",en
7209,family to stay -,the house,full of tiny clothes ,"family to stay -
the house
full of tiny clothes ",en
7211,derelict site  -,a buddleia,...such sweetness from ruins,"derelict site  -
a buddleia
...such sweetness from ruins",en
7212,ootby the maisic chaumer,twa youthie maws,...ettlin tae git in tuin,"ootby the maisic chaumer
twa youthie maws
...ettlin tae git in tuin",en
7213,outside the music room,two young gulls,...trying to get in tune ,"outside the music room
two young gulls
...trying to get in tune ",en
7214,suddent,the pish-the-bed batch...,thair stobbie herrcuts,"suddent
the pish-the-bed batch...
thair stobbie herrcuts",en
7215,suddenly,the dandelion gang...,their spiky haircuts ,"suddenly
the dandelion gang...
their spiky haircuts ",en
7216,dumpin's baw,heich the err,...day o an eclipse,"dumpin's baw
heich the err
...day o an eclipse",en
7217,kicking his ball,high in the air,...day of an eclipse ,"kicking his ball
high in the air
...day of an eclipse ",en
7218,clear vause o roses -,deep in the watter,muckle breers,"clear vause o roses -
deep in the watter
muckle breers",en
7219,clear vase of roses -,deep in the water,magnified thorns ,"clear vase of roses -
deep in the water
magnified thorns ",en
7220,picnic -,butterflies and,flies in the butter ,"picnic -
butterflies and
flies in the butter ",en
7221,hern an me -,oor harns,collin ilk ither,"hern an me -
oor harns
collin ilk ither",en
7222,heron and I -,our brains,shaping each other,"heron and I -
our brains
shaping each other",en
7223,tree less corners,the tall shadows,of beer bottles,"tree less corners
the tall shadows
of beer bottles",en
7225,Halloween night,ghosts and goblins,watch the rain,"Halloween night
ghosts and goblins
watch the rain",en
7227,desert wind,the potter's fingerprints,on an ancient shard,"desert wind
the potter's fingerprints
on an ancient shard",en
7229,together,we watch the eclipse,far apart,"together
we watch the eclipse
far apart",en
7231,faded asters,the cortege pauses at her gate,moves on,"faded asters
the cortege pauses at her gate
moves on",en
7233,biopsy,just a cyst - this time,a break in the clouds,"biopsy
just a cyst - this time
a break in the clouds",en
7235,plastic flowers,placed beside the highway,memory fades,"plastic flowers
placed beside the highway
memory fades",en
7237,mud puddles,leaving behind,a high heel,"mud puddles
leaving behind
a high heel",en
7239,heavy snow,the smell of hot soup,under a neon cross,"heavy snow
the smell of hot soup
under a neon cross",en
7241,dead cat...,open-mouthed,to the pouring rain,"dead cat...
open-mouthed
to the pouring rain",en
7243,sleeper train,the muted glow,of unknown cities,"sleeper train
the muted glow
of unknown cities",en
7245,Fragrant spring blossom,children play outside until,there is no more light.,"Fragrant spring blossom
children play outside until
there is no more light.",en
7247,howling wind,the nurse increases,mum’s morphine,"howling wind
the nurse increases
mum’s morphine",en
7249,planetarium ,my child’s grip,starts to loosen ,"planetarium 
my child’s grip
starts to loosen ",en
7251,I dig a hole,for the stillborn kitten . . .,winter stars,"I dig a hole
for the stillborn kitten . . .
winter stars",en
7253,cold starry night -,from the forest edge the sound,of animal kill,"cold starry night -
from the forest edge the sound
of animal kill",en
7255,herd immunity --,wild turkeys crossing,a busy highway,"herd immunity --
wild turkeys crossing
a busy highway",en
7257,24-hour news --,I can't stop looking,at the fire ,"24-hour news --
I can't stop looking
at the fire ",en
7258,pandemic life --,dandelion seeds,in the air,"pandemic life --
dandelion seeds
in the air",en
7260,travel ban,a flock of geese,overhead ,"travel ban
a flock of geese
overhead ",en
7261,retirement plans,beach sand blowing,in the wind,"retirement plans
beach sand blowing
in the wind",en
7263,self-quarantining,without fanfare,backyard Buddha,"self-quarantining
without fanfare
backyard Buddha",en
7265,reluctant to fly away,the egret,and I,"reluctant to fly away
the egret
and I",en
7267,writer's block --,a ferry,stalled at the dock,"writer's block --
a ferry
stalled at the dock",en
7269,industrial waste --,an otherwise great,guitar solo ,"industrial waste --
an otherwise great
guitar solo ",en
7270,northerly wind --,the shivering cord,of a flagpole,"northerly wind --
the shivering cord
of a flagpole",en
7272,America first --,a line forms,for the taco truck,"America first --
a line forms
for the taco truck",en
7274,harvest moon --,a little boy's,first haircut,"harvest moon --
a little boy's
first haircut",en
7276,wolf moon --,the dog sniffs,every footprint,"wolf moon --
the dog sniffs
every footprint",en
7278,longest night --,we finish our wine,too quickly,"longest night --
we finish our wine
too quickly",en
7280,high tide --,the smell of weed,by the docks,"high tide --
the smell of weed
by the docks",en
7282,waning moon --,my mother pretends,to know who I am,"waning moon --
my mother pretends
to know who I am",en
7284,house for sale --,dismantling,the wheelchair ramp,"house for sale --
dismantling
the wheelchair ramp",en
7287,my retirement plan --,tree pollen,floating in the wind,"my retirement plan --
tree pollen
floating in the wind",en
7289,new moon --,the final,mortgage payment,"new moon --
the final
mortgage payment",en
7291,flower moon --,last stop,of the bachelorette party,"flower moon --
last stop
of the bachelorette party",en
7293,a discolored wall,where the mirror,used to be,"a discolored wall
where the mirror
used to be",en
7296,double shift --,the cocktail waitress serves,a whiskey sour,"double shift --
the cocktail waitress serves
a whiskey sour",en
7298,end of summer --,one last bottle,of wine,"end of summer --
one last bottle
of wine",en
7300,empty subway station --,the accordion music pauses,between trains,"empty subway station --
the accordion music pauses
between trains",en
7302,sad news --,opening the windows,to let the chill out,"sad news --
opening the windows
to let the chill out",en
7304,far from Wall Street,a cormorant,dives,"far from Wall Street
a cormorant
dives",en
7306,lingering clouds --,a stock market,sell-off ,"lingering clouds --
a stock market
sell-off ",en
7307,open house --,the rushed paint strokes,of the guest room,"open house --
the rushed paint strokes
of the guest room",en
7309,prairie winter --,clouds approach,the broken fence,"prairie winter --
clouds approach
the broken fence",en
7312,blizzard warning --,wishing I hadn't seen,that black cat,"blizzard warning --
wishing I hadn't seen
that black cat",en
7314,unripe pomegranates --,all that's left,between us,"unripe pomegranates --
all that's left
between us",en
7316,morning thunder --,the garbage man's,early start,"morning thunder --
the garbage man's
early start",en
7318,Day of the Dead --,my unshaved face,in the mirror,"Day of the Dead --
my unshaved face
in the mirror",en
7320,in the ruins,of a beach house,wild orchids bloom,"in the ruins
of a beach house
wild orchids bloom",en
7322,equinox -- ,we split,the last beer,"equinox -- 
we split
the last beer",en
7324,despite all my worry,the fragrance,of honeysuckle,"despite all my worry
the fragrance
of honeysuckle",en
7326,gibbous moon --,all that's left,of summer,"gibbous moon --
all that's left
of summer",en
7328,end of summer --,watching the Dow,fall,"end of summer --
watching the Dow
fall",en
7330,late summer chill --,a young man's,obituary,"late summer chill --
a young man's
obituary",en
7332,lightning --,her nightgown,comes off,"lightning --
her nightgown
comes off",en
7334,sturgeon moon --,an ancient,burial site,"sturgeon moon --
an ancient
burial site",en
7336,heat wave --,she stops adjusting,her shoulder strap ,"heat wave --
she stops adjusting
her shoulder strap ",en
7337,windless night --,a slow dance,of fireflies,"windless night --
a slow dance
of fireflies",en
7339,approaching storm --,children playing,with matches,"approaching storm --
children playing
with matches",en
7341,a final date --,mingling their ashes,in the lake,"a final date --
mingling their ashes
in the lake",en
7343,missing in action,the hollow eyes,of a veteran ,"missing in action
the hollow eyes
of a veteran ",en
7344,spring sunshine --,another freckle,to kiss,"spring sunshine --
another freckle
to kiss",en
7346,dogwood blossoms --,an ultrasound,of my newest grandson,"dogwood blossoms --
an ultrasound
of my newest grandson",en
7348,morning fog --,a second cup,of bad coffee,"morning fog --
a second cup
of bad coffee",en
7350,Good Friday --,dandelion seeds,in the wind,"Good Friday --
dandelion seeds
in the wind",en
7352,Good Friday --,an unexpected,phone call,"Good Friday --
an unexpected
phone call",en
7354,a long conversation,about Mom --,slow soaking rain,"a long conversation
about Mom --
slow soaking rain",en
7356,over leftovers,an argument about,the causes of war,"over leftovers
an argument about
the causes of war",en
7358,news of her death —,winter moon descending,beyond the trees,"news of her death —
winter moon descending
beyond the trees",en
7360,restless night --,footprints,on the moon,"restless night --
footprints
on the moon",en
7362,a break in the fog --,my daughter's,new address,"a break in the fog --
my daughter's
new address",en
7364,death of a dictator --,the ebb and flow,of the sea,"death of a dictator --
the ebb and flow
of the sea",en
7366,election eve --,driving home,in the dark,"election eve --
driving home
in the dark",en
7368,cactus flower --,I didn't realize,she knew my name,"cactus flower --
I didn't realize
she knew my name",en
7370,Day of the Dead --,walking into,a strong perfume ,"Day of the Dead --
walking into
a strong perfume ",en
7371,defying,the autumn gloom --,red maple,"defying
the autumn gloom --
red maple",en
7373,in the hollow stump,of the old tree,wild poppies bloom,"in the hollow stump
of the old tree
wild poppies bloom",en
7375,deep autumn --,a row,of empty beach houses,"deep autumn --
a row
of empty beach houses",en
7377,hurricane watch --,the tall tree's shadow,over our house,"hurricane watch --
the tall tree's shadow
over our house",en
7379,hunter's moon --,she asks if I've found,what I needed,"hunter's moon --
she asks if I've found
what I needed",en
7381,migrating geese --,no one asks them,where they're from,"migrating geese --
no one asks them
where they're from",en
