,0,1,2,haiku,lang
4851,Another day without him,she misses all the little things,"still, the sun shines","Another day without him
she misses all the little things
still, the sun shines",en
4852,Un autre jour sans lui,elle regrette toutes ces petites choses,"toujours, le soleil se lève ","Un autre jour sans lui
elle regrette toutes ces petites choses
toujours, le soleil se lève ",fr
4853,cancer clinic visit,day breaking from the night,a seaplane is waiting,"cancer clinic visit
day breaking from the night
a seaplane is waiting",en
4854,visite à la clinique du cancer,le jour se lève,un hydravion attend ,"visite à la clinique du cancer
le jour se lève
un hydravion attend ",fr
4855,feelings of joy,float in and out,red seaweed ,"feelings of joy
float in and out
red seaweed ",en
4856,On the pillow,his bouquet of wild flowers,this last day of Spring,"On the pillow
his bouquet of wild flowers
this last day of Spring",en
4857,Sur l'oreiller,son bouquet de fleurs sauvages,ce dernier jour de printemps ,"Sur l'oreiller
son bouquet de fleurs sauvages
ce dernier jour de printemps ",fr
4858,Dusting off the ancestors,and stirring up memories,Spring cleaning,"Dusting off the ancestors
and stirring up memories
Spring cleaning",en
4859,je dépoussière les ancêtres,et aspire les souvenirs,nettoyage de printemps ,"je dépoussière les ancêtres
et aspire les souvenirs
nettoyage de printemps ",fr
4860,waiting for the sun,the clouds hide his face,first cup of coffee,"waiting for the sun
the clouds hide his face
first cup of coffee",en
4861,attendant le soleil,les nuages cachent sa face,première tasse de café ,"attendant le soleil
les nuages cachent sa face
première tasse de café ",fr
4862,awake at 3 am,she drags her kimono,from room to room,"awake at 3 am
she drags her kimono
from room to room",en
4863,éveillée à 3 heures du matin,elle traîne son kimono,de chambre en chambre ,"éveillée à 3 heures du matin
elle traîne son kimono
de chambre en chambre ",fr
4864,a milky sea,mass of logs sit and rest,as an eagle soars ,"a milky sea
mass of logs sit and rest
as an eagle soars ",en
4865,finally a day of sun,here in the rain forest,freckles on my face,"finally a day of sun
here in the rain forest
freckles on my face",en
4866,enfin un jour de soleil,ici dans la forêt pluviale,taches de rousseur sur mon visage ,"enfin un jour de soleil
ici dans la forêt pluviale
taches de rousseur sur mon visage ",fr
4867,From the tidal pool,Two crabs in an embrace,Today's lunch,"From the tidal pool
Two crabs in an embrace
Today's lunch",en
4868,(Dans la flaque laissée par la marée,Deux crabes dans une étreinte,Le dîner d'aujourd'hui),"(Dans la flaque laissée par la marée
Deux crabes dans une étreinte
Le dîner d'aujourd'hui)",fr
4869,Buddhist monks chat,On the 49th day of the disaster,Looking for lost souls,"Buddhist monks chat
On the 49th day of the disaster
Looking for lost souls",en
4870,Des moines Bouddhistes discutent,au 49ème jour du désastre,cherchant des âmes perdues ,"Des moines Bouddhistes discutent
au 49ème jour du désastre
cherchant des âmes perdues ",fr
4871,Dawn,The night separating from the day,A bird's song,"Dawn
The night separating from the day
A bird's song",en
4872,Aube,La nuit se sépare du jour,Un chant d'oiseau ,"Aube
La nuit se sépare du jour
Un chant d'oiseau ",fr
4873,On the table,Apple blossom branches,A new scent,"On the table
Apple blossom branches
A new scent",en
4874,Sur la table,des branches de fleurs de pommier,Une odeur nouvelle ,"Sur la table
des branches de fleurs de pommier
Une odeur nouvelle ",fr
4875,Forever waiting,For the ring of the phone,Watching the rain,"Forever waiting
For the ring of the phone
Watching the rain",en
4876,Pour toujours attendre,une sonnerie de téléphone,en regardant la pluie ,"Pour toujours attendre
une sonnerie de téléphone
en regardant la pluie ",fr
4877,In the hospital,Watching the clouds drift by,Sharp needle in the hand,"In the hospital
Watching the clouds drift by
Sharp needle in the hand",en
4878,A l'hopital,regarder les nuages passer,une aiguille acérée dans la main ,"A l'hopital
regarder les nuages passer
une aiguille acérée dans la main ",fr
4879,Grey and rainy,Going with my Mother,To a senior's complex,"Grey and rainy
Going with my Mother
To a senior's complex",en
4880,gris et pluvieux,je vais avec ma mère,à la maison de retraite ,"gris et pluvieux
je vais avec ma mère
à la maison de retraite ",fr
4881,Soft rain,My Mother and I look,At retirement homes,"Soft rain
My Mother and I look
At retirement homes",en
4882,pluie douce,ma mère et moi cherchons,des maisons de retraite ,"pluie douce
ma mère et moi cherchons
des maisons de retraite ",fr
4883,Rainy February day,Cloud after cloud after cloud,Pray for a clear day,"Rainy February day
Cloud after cloud after cloud
Pray for a clear day",en
4884,jour pluvieux de février,nuage après nuage après nuage,prière pour un jour clair ,"jour pluvieux de février
nuage après nuage après nuage
prière pour un jour clair ",fr
4885,Chilly morning,Memories of a love affair,Floating in my mind,"Chilly morning
Memories of a love affair
Floating in my mind",en
4886,matin froid,les souvenirs d'un amour,flottent dans mon esprit ,"matin froid
les souvenirs d'un amour
flottent dans mon esprit ",fr
4887,Home again,His scent lingers,On her kimono,"Home again
His scent lingers
On her kimono",en
4888,Retour à la maison,son odeur traine,sont son kimono ,"Retour à la maison
son odeur traine
sont son kimono ",fr
4889,Awoken at 4 am,The honking of Canada geese,Spring is here,"Awoken at 4 am
The honking of Canada geese
Spring is here",en
4890,Eveillée à 4 heures du matin,Les cris des bernaches du Canada,Le printemps est là ,"Eveillée à 4 heures du matin
Les cris des bernaches du Canada
Le printemps est là ",fr
4891,Snowballs,her seasonal cookies,eaten one by one,"Snowballs
her seasonal cookies
eaten one by one",en
4892,Boules de neige,ses gateaux de saisons,mangés un par un ,"Boules de neige
ses gateaux de saisons
mangés un par un ",fr
4893,Grey surrounds,wind blows in from the window ,Advents candles blow out,"Grey surrounds
wind blows in from the window 
Advents candles blow out",en
4894,(grisaille aux alentours,le vent souffle par la fenêtre,les bougies de l'Avent s'éteignent) ,"(grisaille aux alentours
le vent souffle par la fenêtre
les bougies de l'Avent s'éteignent) ",fr
4895,Winter solstice,too many things to do,this shortest of days,"Winter solstice
too many things to do
this shortest of days",en
4896,Solstice d'hiver,trop de choses à faire,ce jour le plus court ,"Solstice d'hiver
trop de choses à faire
ce jour le plus court ",fr
4897,On the island,the first snowfall,red gloves,"On the island
the first snowfall
red gloves",en
4898,Sur l'île,la première chute de neige,gants rouges ,"Sur l'île
la première chute de neige
gants rouges ",fr
4899,First mandarin,sweet and sour taste,scent of Christmas,"First mandarin
sweet and sour taste
scent of Christmas",en
4900,Première mandarine,goût doux et amer,odeur de Noël ,"Première mandarine
goût doux et amer
odeur de Noël ",fr
4901,Side of the road,flowers a deep shade of blue,thoughts fly to you,"Side of the road
flowers a deep shade of blue
thoughts fly to you",en
4902,Bord de route,des fleurs d'un bleu profond,mes pensées volent vers toi ,"Bord de route
des fleurs d'un bleu profond
mes pensées volent vers toi ",fr
4903,A wind up frog,hops across the wooden floor,thoughts of haiku ,"A wind up frog
hops across the wooden floor
thoughts of haiku ",en
4904,On the weight scale,too many extra pounds,Autumn's abundance,"On the weight scale
too many extra pounds
Autumn's abundance",en
4905,Sur le relevé de poids,beaucoup de kilos en trop,abondance d'automne ,"Sur le relevé de poids
beaucoup de kilos en trop
abondance d'automne ",fr
4906,"Crunch, crunch, crunch",stepping on fallen acorns,this Autumn day ,"Crunch, crunch, crunch
stepping on fallen acorns
this Autumn day ",en
4907,Rain clouds,patches of blue in the sky,first cup of coffee,"Rain clouds
patches of blue in the sky
first cup of coffee",en
4908,Nuages de pluie,taches de bleu dans le ciel,première tasse de café ,"Nuages de pluie
taches de bleu dans le ciel
première tasse de café ",fr
4909,In the morning darkness,coffee cup in hand,missing the sunshine,"In the morning darkness
coffee cup in hand
missing the sunshine",en
4910,(Dans l'obscurité du matin,tasse de café en main,regretter le soleil) ,"(Dans l'obscurité du matin
tasse de café en main
regretter le soleil) ",fr
4911,Fall morning,fog resting on cedars,cup of Kona,"Fall morning
fog resting on cedars
cup of Kona",en
4912,Matin d'automne,le brouillard traîne dans les cèdres,tasse de Kona ,"Matin d'automne
le brouillard traîne dans les cèdres
tasse de Kona ",fr
4913,Fall afternoon,the boat on the river,slow heart beating,"Fall afternoon
the boat on the river
slow heart beating",en
4914,(après-midi d'automne,le bateau sur la rivière,le coeur qui bat lentement) ,"(après-midi d'automne
le bateau sur la rivière
le coeur qui bat lentement) ",fr
4915,Hazy skies,the cedars less dark,this Summer day,"Hazy skies
the cedars less dark
this Summer day",en
4916,Ciels brumeux,les cèdres moins sombres,ce jour d'été ,"Ciels brumeux
les cèdres moins sombres
ce jour d'été ",fr
4917,Crickets in the garden,time passing me by,Mother's ageing hands ,"Crickets in the garden
time passing me by
Mother's ageing hands ",en
4918,My son's birthday,not sharing the cake,chasing the seagull away ,"My son's birthday
not sharing the cake
chasing the seagull away ",en
4919,(l'anniversaire de mon fils,ne pas partager le gâteau,chasser la mouette) ,"(l'anniversaire de mon fils
ne pas partager le gâteau
chasser la mouette) ",fr
4920,cloudless night,she looks into the mirror,counting new wrinkles,"cloudless night
she looks into the mirror
counting new wrinkles",en
4921,nuit sans nuages,elle regarde dans le miroir,et compte ses nouvelles rides ,"nuit sans nuages
elle regarde dans le miroir
et compte ses nouvelles rides ",fr
4922,Cloudy sky,the sun a bright red,first cup of coffee,"Cloudy sky
the sun a bright red
first cup of coffee",en
4923,Ciel nuageux,le soleil un rouge vif,première tasse de café ,"Ciel nuageux
le soleil un rouge vif
première tasse de café ",fr
4924,(Rain filled morning,i hold my face upward,tears like rain,"(Rain filled morning
i hold my face upward
tears like rain",en
4925,matin de pluie,mon visage vers le ciel,des larmes comme pluie) ,"matin de pluie
mon visage vers le ciel
des larmes comme pluie) ",fr
4926,Cool and cloudy day,slowly the season changes,mirrored in your eyes,"Cool and cloudy day
slowly the season changes
mirrored in your eyes",en
4927,jour froid et nuageux,lentement la saison change,réflètée dans mes yeux ,"jour froid et nuageux
lentement la saison change
réflètée dans mes yeux ",fr
4928,visit to the old villa,the scent of,lost money,"visit to the old villa
the scent of
lost money",en
4929,visite à l'ancienne villa,l'odeur de,l'argent perdu ,"visite à l'ancienne villa
l'odeur de
l'argent perdu ",fr
4930,After the Solstice,already feeling the touch,of Winter,"After the Solstice
already feeling the touch
of Winter",en
4931,Après le Solstice,déjà sentir le toucher,de l'hiver ,"Après le Solstice
déjà sentir le toucher
de l'hiver ",fr
4932,The red breasted bird,outside the cancer clinic ,Spring nest building now ,"The red breasted bird
outside the cancer clinic 
Spring nest building now ",en
4933,Dark spring morning,busy conversation of birds,awakens interest,"Dark spring morning
busy conversation of birds
awakens interest",en
4934,Sombre matin de printemps,la conversation occupée des oiseaux,éveille l'intérêt ,"Sombre matin de printemps
la conversation occupée des oiseaux
éveille l'intérêt ",fr
4935,Morning sunshine bright,chases all worry from cancer,operation success ,"Morning sunshine bright
chases all worry from cancer
operation success ",en
4936,Dancing in the yard,rows of tidy daffodils,oh so very yellow,"Dancing in the yard
rows of tidy daffodils
oh so very yellow",en
4937,Dansant dans la cour,des lignes de jonquilles bien rangées,l'opération a réussi ,"Dansant dans la cour
des lignes de jonquilles bien rangées
l'opération a réussi ",fr
4938,A float plane,divides the Canada geese,Summer stillness,"A float plane
divides the Canada geese
Summer stillness",en
4939,Un hydravion,partage les bernaches du Canada,calme de l'été,"Un hydravion
partage les bernaches du Canada
calme de l'été",fr
4940,Summer solstice,the smoke of bonfires,hill after hill,"Summer solstice
the smoke of bonfires
hill after hill",en
4941,Solstice d'été,la fumée des grand-feux,colline après colline,"Solstice d'été
la fumée des grand-feux
colline après colline",fr
